weight,AppName,Cores,DataSize,SchedulerDelay,MeanWaveTime,GCTime,TaskDeserializationTime,Stragglers,ExecutorRunTime,SDIncrease,MWTIncrease,GCIncrease,TDTIncrease,StragglerIncrease,ERTIncrease,Label,memUtil,commit,cpuUtil
1000,Q9,5,1,0.00302,0.294,0.0082,0.049,0.35,0.2945,0.821396192,1.314456036,1.757142857,1.986486486,1.166666667,1.271040138,1,0.48,0.17,0.97
1000,Q9,5,1,0.00133,0.266,0.00786,0.006,0.3,0.258,0.361740707,1.189269747,1.684285714,0.243243243,1,1.113508848,2,0.87,0.31,0.72
1000,Q9,5,1,0.0878,0.8,0.182,7,1,0.694,23.88032638,3.576751118,39,283.7837838,3.333333333,2.995252482,2,0.98,0.58,0.84
1000,Q9,5,1,0.0196,0.566,0.0419,3,0.783,0.557,5.330915684,2.530551416,8.978571429,121.6216216,2.61,2.403970652,2,0.98,0.8,0.62
1000,Q70,5,1,0.0019,0.294,0.0088,0.009,0.33,0.277,0.681818182,1.263610315,1.774193548,0.964285714,1.18847539,1.213138686,2,0.57,0.21,0.98
1000,Q70,5,1,0.0027,0.667,0.01775,0.02,0.783,0.677,0.968899522,2.866762178,3.578629032,2.142857143,2.819927971,2.964963504,2,0.55,0.21,0.98
1000,Q70,5,1,0.0025,0.261,0.0066,0.008,0.283,0.251,0.897129187,1.121776504,1.330645161,0.857142857,1.019207683,1.099270073,1,0.6,0.19,0.87
1000,Q70,5,1,0.0029,0.33,0.0059,0.007,0.383,0.321,1.040669856,1.418338109,1.189516129,0.75,1.379351741,1.405839416,1,0.66,0.21,0.89
1000,Q70,5,1,0.00496,0.4,0.0075,0.008,0.466,0.385,1.779904306,1.719197708,1.512096774,0.857142857,1.678271309,1.686131387,1,0.63,0.22,0.92
1000,Q70,5,1,0.00253,0.261,0.0067,0.008,0.251,0.283,0.907894737,1.121776504,1.350806452,0.857142857,0.903961585,1.239416058,1,0.58,0.18,0.73
1000,Q70,5,1,0.00366,0.261,0.0038,0.017,0.316,0.261,1.313397129,1.121776504,0.766129032,1.821428571,1.138055222,1.143065693,1,0.62,0.19,0.84
1000,Q70,5,1,0.0033,0.327,0.0048,0.006,0.366,0.302,1.184210526,1.405444126,0.967741936,0.642857143,1.318127251,1.322627737,1,0.6,0.19,0.9
1000,Q70,5,1,0.0028,0.288,0.0079,0.019,0.316,0.279,1.004784689,1.23782235,1.592741935,2.035714286,1.138055222,1.22189781,2,0.98,0.31,0.74
1000,Q70,5,1,0.0259,0.633,0.047,0.2,0.916,0.229,9.294258373,2.720630372,9.475806452,21.42857143,3.298919568,1.002919708,2,0.98,0.64,0.85
1000,Q52,5,1,0.00359,0.272,0.00996,0.008,0.416,0.307,3.554455446,1.225225225,1.773293769,1.2,1.388827064,1.340611354,2,0.43,0.2,0.82
1000,Q52,5,1,0.0033,0.305,0.0121,0.016,0.4,0.331,3.267326733,1.373873874,2.154302671,2.4,1.335410639,1.445414847,2,0.47,0.22,0.98
1000,Q52,5,1,0.002727,0.533,0.0126,0.011,0.733,0.6,2.7,2.400900901,2.243323442,1.65,2.447139996,2.620087336,2,0.42,0.2,0.98
1000,Q52,5,1,0.00265,0.255,0.00875,0.01,0.316,0.268,2.623762376,1.148648649,1.557863501,1.5,1.054974405,1.170305677,1,0.55,0.26,0.83
1000,Q52,5,1,0.00329,0.294,0.00853,0.01,0.366,0.309,3.257425743,1.324324324,1.518694362,1.5,1.221900734,1.349344978,1,0.47,0.22,0.9
1000,Q52,5,1,0.00544,0.4,0.0133,0.031,0.516,0.407,5.386138614,1.801801802,2.367952522,4.65,1.722679724,1.777292576,1,0.5,0.25,0.93
1000,Q52,5,1,0.00342,0.238,0.00681,0.007,0.3,0.258,3.386138614,1.072072072,1.212462908,1.05,1.001557979,1.126637555,1,0.4,0.19,0.71
1000,Q52,5,1,0.00299,0.25,0.00821,0.007,0.366,0.284,2.96039604,1.126126126,1.461721068,1.05,1.221900734,1.240174672,1,0.44,0.21,0.82
1000,Q52,5,1,0.0044,0.288,0.0087,0.012,0.4,0.305,4.356435644,1.297297297,1.548961424,1.8,1.335410639,1.331877729,1,0.38,0.19,0.97
1000,Q52,5,1,0.00207,0.25,0.0074,0.025,0.33,0.263,2.04950495,1.126126126,1.317507418,3.75,1.101713777,1.148471616,2,0.79,0.34,0.68
1000,Q52,5,1,0.0307,0.8,0.0873,0.2,1.5,0.787,30.3960396,3.603603604,15.54302671,30,5.007789895,3.436681223,2,0.98,0.58,0.82
1000,Q15,5,1,0.0043,0.275,0.0064,0.01,0.283,0.238,1.677503251,1.287051482,1.256544503,0.769230769,1.133511348,1.182119205,2,0.76,0.2,0.86
1000,Q15,5,1,0.0006,0.325,0.00908,0.018,0.333,0.307,0.234070221,1.521060842,1.782722513,1.384615385,1.333778371,1.524834437,2,0.89,0.25,0.98
1000,Q15,5,1,0.00286,0.65,0.0147,0.01,0.7,0.534,1.11573472,3.042121685,2.886125654,0.769230769,2.803738318,2.652317881,2,0.81,0.22,0.98
1000,Q15,5,1,0.0055,0.241,0.00548,0.005,0.283,0.226,2.145643693,1.127925117,1.07591623,0.384615385,1.133511348,1.122516556,1,0.78,0.2,0.88
1000,Q15,5,1,0.0027,0.308,0.0058,0.02,0.316,0.267,1.053315995,1.44149766,1.138743455,1.538461538,1.265687583,1.32615894,1,0.91,0.26,0.91
1000,Q15,5,1,0.0051,0.375,0.0142,0.2,0.433,0.378,1.989596879,1.755070203,2.787958115,15.38461538,1.734312417,1.877483444,1,0.83,0.24,0.94
1000,Q15,5,1,0.0028,0.225,0.00455,0.004,0.25,0.209,1.092327698,1.053042122,0.893324607,0.307692308,1.001335113,1.03807947,1,0.76,0.2,0.72
1000,Q15,5,1,0.00187,0.258,0.00713,0.006,0.283,0.243,0.729518856,1.2074883,1.39986911,0.461538462,1.133511348,1.206953642,1,0.78,0.21,0.8
1000,Q15,5,1,0.0045,0.291,0.0063,0.012,0.3,0.259,1.755526658,1.361934477,1.236910995,0.923076923,1.201602136,1.286423841,1,0.79,0.21,0.95
1000,Q15,5,1,0.00364,0.291,0.0092,0.006,0.316,0.264,1.420026008,1.361934477,1.806282723,0.461538462,1.265687583,1.311258278,2,0.98,0.5,0.66
1000,Q15,5,1,0.0259,0.95,0.154,0.2,1.4,0.693,10.10403121,4.446177847,30.23560209,15.38461538,5.607476636,3.44205298,2,0.98,0.69,0.82
1000,Q15,5,1,0.0362,0.85,0.132,0.006,1.1,0.588,14.12223667,3.978159126,25.91623037,0.461538462,4.405874499,2.920529801,2,0.98,0.8,0.19
1000,Q78,5,1,0.00495,0.433,0.0054,0.004,0.316,0.12,2.219730942,1.000770416,1.038461538,1.5,1.094688222,1.336302895,2,0.68,0.27,0.85
1000,Q78,5,1,0.00199,0.566,0.0087,0.006,0.416,0.125,0.892376682,1.30816641,1.673076923,2.25,1.441108545,1.391982183,2,0.57,0.23,0.98
1000,Q78,5,1,0.0017,1.1,0.0155,0.005,0.833,0.309,0.762331839,2.542372881,2.980769231,1.875,2.885681293,3.440979955,2,0.59,0.24,0.98
1000,Q78,5,1,0.00458,0.4,0.0052,0.002,0.3,0.07155,2.053811659,0.92449923,1,0.75,1.03926097,0.796770601,1,0.55,0.24,0.86
1000,Q78,5,1,0.003,0.533,0.00635,0.002,0.383,0.145,1.34529148,1.231895223,1.221153846,0.75,1.326789838,1.614699332,1,0.62,0.22,0.89
1000,Q78,5,1,0.00157,1.166,0.01045,0.002,0.5,0.0413,0.704035874,2.694915254,2.009615385,0.75,1.732101617,0.459910913,1,0.66,0.29,0.91
1000,Q78,5,1,0.00234,0.7,0.0067,0.003,0.35,0.083,1.049327354,1.617873652,1.288461538,1.125,1.212471132,0.924276169,1,0.58,0.24,0.72
1000,Q78,5,1,0.00154,0.4,0.0056,0.003,0.3,0.068,0.69058296,0.92449923,1.076923077,1.125,1.03926097,0.757238307,1,0.57,0.23,0.82
1000,Q78,5,1,0.00305,0.3,0.00728,0.008,0.383,0.279,1.367713004,0.693374422,1.4,3,1.326789838,3.106904232,1,0.58,0.24,0.97
1000,Q78,5,1,0.00413,0.277,0.0069,0.004,0.316,0.27,1.852017937,0.640215717,1.326923077,1.5,1.094688222,3.006681514,2,0.97,0.39,0.74
1000,Q78,5,1,0.00796,13,0.156,0.005,3,0.727,3.569506726,30.04622496,30,1.875,10.3926097,8.095768374,2,0.98,0.83,0.26
1000,Q64,5,1,0.0035,0.316,0.009,0.011,0.366,0.311,1.054216867,1.369942197,1.927194861,2.75,1.267898383,1.348265896,2,0.46,0.24,0.82
1000,Q64,5,1,0.0032,0.322,0.0087,0.008,0.4,0.339,0.963855422,1.395953757,1.862955032,2,1.385681293,1.469653179,2,0.58,0.24,0.98
1000,Q64,5,1,0.00309,1.866,0.021,0.01,0.816,0.186,0.930722892,8.089595376,4.496788009,2.5,2.826789838,0.806358382,2,0.59,0.25,0.97
1000,Q64,5,1,0.00225,0.366,0.00478,0.002,0.283,0.069,0.677710843,1.586705202,1.023554604,0.5,0.980369515,0.299132948,1,0.67,0.24,0.84
1000,Q64,5,1,0.00068,0.933,0.01005,0.003,0.45,0.098,0.204819277,4.044797688,2.152034261,0.75,1.558891455,0.424855491,1,0.6,0.27,0.88
1000,Q64,5,1,0.0021,0.433,0.0114,0.014,0.45,0.401,0.632530121,1.87716763,2.44111349,3.5,1.558891455,1.738439306,1,0.62,0.25,0.93
1000,Q64,5,1,0.0056,0.433,0.0057,0.004,0.35,0.122,1.686746988,1.87716763,1.220556745,1,1.212471132,0.528901734,1,0.57,0.27,0.7
1000,Q64,5,1,0.0022,0.283,0.0071,0.006,0.316,0.273,0.662650602,1.226878613,1.520342612,1.5,1.094688222,1.183526012,1,0.62,0.25,0.94
1000,Q64,5,1,0.0022,0.9,0.0116,0.004,0.66,0.255,0.662650602,3.901734104,2.483940043,1,2.286374134,1.105491329,1,0.59,0.24,0.98
1000,Q64,5,1,0.0046,0.766,0.0089,0.003,0.316,0.0774,1.385542169,3.320809249,1.905781585,0.75,1.094688222,0.335549133,2,0.98,0.39,0.64
